# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: Sample-1
# Analysis Time: 2015-10-29 15:11:05
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
20.361,16307.48,387.5,1637.58,194291.974288,4279440.33,181146.75708800004,44631.66128000001,11603.87,627865.045856
20.718,13004.75,300.0,1637.58,253079.17,7793835.630496001,236762.81,55368.77504,11603.87,677987.03072
21.075,9102.33,275.0,1637.58,253079.17,9632445.99032,236762.81,65379.29120000001,11603.87,699944.473984
21.432,7601.63,275.0,1637.58,498986.764864,11534593.958896002,391306.98699200014,71697.82104000001,11033.548,707038.2515039999
21.789,7677.697200000001,275.0,1637.58,619131.326384,12667353.782544002,468579.0754880001,75769.89504,10619.285600000001,707782.5
22.146,7281.526000000001,250.0,1650.08,745833.3089599999,13423686.530768001,551155.7543200001,79251.03,8552.11,698387.19
22.503,6001.01,262.5,1650.08,816107.515664,13765408.441392,601758.7149280002,78899.46,9978.893600000001,698387.19
22.86,6001.01,250.0,1650.08,860614.8456959999,13875887.348624002,635119.9045280002,90075.83112000002,9682.718,698387.19
23.217,5500.85,250.0,1650.08,875878.442096,13830797.312048001,657933.8473280001,95438.63312000001,9752.74,698387.19
23.574,6001.01,250.0,1650.08,874881.578576,13711749.689776001,660002.68,100871.74912000001,8902.28,698387.19
23.931,6001.01,287.5,1725.09,870174.93,13564729.99,692744.42,103001.13408000002,8301.98,692917.84
24.288,5500.85,287.5,1725.09,848817.66,13385244.05,738949.4560000001,106065.04,8452.06,686958.412
24.645,5500.85,287.5,1725.09,848817.66,13385244.05,781122.93,102670.24,8854.2652,671040.44
25.002,5500.85,287.5,1700.09,848817.66,13385244.05,813072.48,117410.93,9212.456000000002,668590.05
25.359,5500.85,287.5,1700.09,840987.0,13385244.05,897097.81,124055.78,8752.2,668590.05
25.716,6801.3,387.5,1700.09,840987.0,13385244.05,1011451.59,154465.07763200003,8902.28,668590.05
26.073,7441.594,387.5,1700.09,840987.0,13385244.05,1096643.25,172319.93478400004,8902.28,668590.05
26.43,8301.94,312.5,1900.11,840987.0,13385244.05,1315541.5827040002,190005.91278400004,8902.28,668590.05
26.787,8301.94,312.5,1900.11,840987.0,13597258.487136003,1453780.8225600002,202271.22497600003,9952.85,668590.05
