# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: Sample-2
# Analysis Time: 2015-10-29 15:15:37
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
0.367,2000.11,0.0,0.0,100.0,14455.96,400.0,250.0,7451.6,33.33
0.724,2300.15,25.0,0.0,300.0,16157.44,333.34,175.0,8402.03,100.0
1.081,1100.03,0.0,0.0,100.0,14455.96,300.0,175.0,7101.45,100.0
1.438,1904.1144000000002,0.0,0.0,333.34,14906.34,320.004,100.0,6501.22,133.33
1.795,1500.06,0.0,0.0,333.34,14856.29,200.0,200.0,7001.4184000000005,100.0
2.152,2060.13,0.0,0.0,200.0,14696.17,166.67,125.0,7051.442000000001,66.67
2.509,1900.1,0.0,0.0,466.67,13605.28,253.334,150.0,6701.29,133.33
2.867,2004.1196,0.0,0.0,433.34,14656.13,300.0,178.0,6551.24,100.0
3.224,1800.09,0.0,0.0,500.01,14205.75,200.0,175.0,6951.39,100.0
3.581,1600.07,12.5,0.0,266.67,14055.63,313.334,165.0,7851.77,66.67
3.938,1500.06,12.5,0.0,400.0,14461.975600000002,282.66679999999997,50.0,7951.838000000001,0.0
4.295,1940.1136000000004,0.0,0.0,300.0,13905.51,200.0,75.0,7851.77,66.67
4.652,1860.1076000000003,0.0,0.0,366.67,14786.258000000002,300.0,175.0,7651.69,33.334
5.009,1852.1054400000003,25.0,0.0,266.67,14005.6,266.668,200.0,5650.92,0.0
5.366,1200.04,0.0,0.0,266.67,14455.96,200.0,200.0,7441.62,0.0
5.723,2060.1259999999997,25.0,0.0,300.0,12854.71,266.67,215.0,7581.684,33.33
6.08,2100.12,25.0,0.0,500.01,14105.67,333.34,250.0,7551.64,33.33
6.437,2100.12,12.5,0.0,466.67,14075.69,533.34,100.0,7767.7488,33.33
6.794,2133.7295200000003,12.5,0.0,466.67,12654.57,533.34,225.0,7101.45,33.33
7.151,2248.1476000000002,0.0,0.0,466.67,14309.872000000001,500.01,175.0,7553.6576,26.666000000000004
7.508,1800.09,0.0,12.5,300.0,14806.25,500.01,100.0,7361.5779999999995,0.0
7.865,1995.3176800000003,0.0,12.5,433.34,14806.25,300.0,50.0,6701.29,0.0
8.222,1888.1068000000002,0.0,0.0,100.0,14806.25,233.33,100.0,6351.16,66.67
8.579,1700.08,0.0,0.0,333.34,13355.09,300.0,115.0,7611.696,46.668000000000006
8.936,1400.06,5.0,0.0,366.67,14606.08,133.33,100.0,7673.7236,66.67
9.293,1700.086,0.0,0.0,380.00600000000003,13455.16,300.002,125.0,7501.62,0.0
9.65,1400.06,0.0,0.0,333.34,14055.63,300.0,200.0,7866.197120000001,100.0
10.007,1800.09,0.0,0.0,333.34,15456.81,333.34,100.0,7501.62,100.0
10.364,1700.08,25.0,0.0,326.67,15156.55,400.0,250.0,8251.96,66.67
10.721,1913.70496,25.0,0.0,366.67,15656.99,266.67,275.0,7001.41,66.67
11.078,1900.1,12.5,0.0,133.33,15656.99,200.0,175.0,8652.16,66.67
11.434,1968.1147999999998,0.0,0.0,433.34,15656.99,233.33,175.0,8552.11,66.67
11.792,1400.06,25.0,12.5,400.0,14756.21,266.67,150.0,8502.08,33.33
12.149,1773.69496,25.0,12.5,466.67,14055.63,266.67,150.0,7751.73,0.0
12.506,1600.07,0.0,12.5,413.336,13455.16,300.0,150.0,7701.734,0.0
12.863,1590.47824,0.0,0.0,233.33,13305.05,286.668,175.0,6101.07,0.0
13.22,1552.0712,0.0,0.0,233.33,14331.880000000001,200.0,235.0,7251.51,66.67
13.577,900.02,12.5,0.0,233.33,14886.34,200.0,200.0,7293.541600000001,66.67
13.934,1500.06,25.0,0.0,266.664,14906.34,433.34,250.0,7711.718000000001,33.33
14.291,1500.06,0.0,0.0,233.33,14646.142000000002,266.67,125.0,7551.64,66.67
14.649,1500.06,25.0,0.0,233.33,13204.97,533.34,325.0,7251.51,53.33200000000001
15.006,1400.06,0.0,0.0,400.0,14005.6,433.34,275.0,6001.04,33.33
15.363,1900.1,12.5,12.5,440.004,14506.0,500.01,265.0,6891.388000000001,0.0
15.72,1657.68432,0.0,12.5,300.0,14626.108,486.67400000000004,150.0,5750.95,33.33
16.077,1868.1076,0.0,12.5,428.00480000000005,14706.17,366.67,200.0,7301.53,20.0
16.434,1200.04,0.0,12.5,433.34,14455.96,500.01,225.0,7431.624000000002,0.0
16.791,1795.2983200000003,0.0,12.5,400.0,13755.4,426.672,300.0,7577.6648000000005,0.0
17.148,1868.104,0.0,12.5,300.0,15306.68,366.67,250.0,6951.39,0.0
17.505,1900.1,0.0,12.5,300.0,15306.68,233.33,200.0,8101.89,33.33
17.862,1900.1,50.0,12.5,300.0,15306.68,233.33,200.0,8101.89,33.33
18.218,1900.1,50.0,147.5,300.0,15306.68,233.33,200.0,8101.89,33.33
18.576,1900.1,50.0,237.5,300.0,15306.68,233.33,200.0,8101.89,33.33
18.933,1900.1,50.0,237.5,1833.43,58948.96,233.33,200.0,8101.89,27789.46
19.29,1900.1,50.0,811.5320000000002,1833.43,58948.96,233.33,20323.845088000002,8101.89,27789.46
19.647,5595.790640000001,150.0,1034.044,98613.25067200001,1230534.3544960003,51239.70708800001,21462.93,8101.89,196845.40868800005
20.004,8012.886400000001,150.0,1350.06,145502.69867200003,2276550.6122400006,75952.099088,53661.28622400001,10611.384800000002,281579.3821920001
20.361,10093.718400000002,150.0,1350.06,223421.55342400004,2406136.97,123795.29,68909.36043200002,12138.157200000001,372396.4202080001
20.718,10863.782960000002,150.0,1262.55,236280.67,4974472.773632001,123795.29,85406.701232,13268.8672,428237.32598400017
21.075,12304.26,150.0,1262.55,372010.3947520001,6279683.205872001,444434.444016,92145.44014400001,13443.168720000001,466082.01555200014
21.432,12304.26,150.0,1262.55,438275.6897600001,7684944.489456001,601100.06616,99456.675952,13755.44,485140.0655200001
21.789,12304.26,150.0,1262.55,508352.9310080001,8558707.142272001,764000.2966400001,91987.06,13755.44,497455.45
22.146,12304.26,150.0,1262.55,548361.9502560002,9171800.418720001,852355.3118880001,108089.33134400002,13755.44,497455.45
22.503,12304.26,150.0,1262.55,574154.0598560001,9495114.111280002,898716.7103200001,111349.44044800002,13755.44,497455.45
22.86,12304.26,150.0,1262.55,585738.484256,9650213.469952,906691.0822719999,116706.00644800003,13755.44,497455.45
23.217,13925.502,150.0,1525.07,591472.8,9701375.616368001,889357.25,120250.17952000002,13755.44,505913.88
23.574,14249.750399999999,150.0,1525.07,591472.8,9688254.12,868288.5,118769.89,15256.7,505913.88
23.931,15006.33,150.0,1525.07,591472.8,9688254.12,852520.33,118769.89,16257.6,505913.88
24.288,15006.33,262.5,1525.07,591472.8,9688254.12,852520.33,116434.766,15506.92,501883.02040000004
24.645,15006.33,262.5,1575.08,596402.23,9644917.887984,852520.33,112932.08,16858.17,497380.10240000003
25.002,17408.63,262.5,1125.04,596402.23,9581220.174176002,841180.690992,112932.08,16317.696,483399.29
25.359,17768.962,275.0,1125.04,596402.23,9483648.322016,834860.9696800001,112932.08,15757.14,483399.29
25.716,17905.922880000002,275.0,1125.04,597264.21,9315001.912016002,811864.4711840001,109154.34400000001,15156.61,483399.29
26.073,17933.1624,225.0,1125.04,597264.21,9155148.614224002,787937.7227680002,106744.09,14606.14,483059.03
26.431,16684.87848,137.5,1125.04,597264.21,8845022.07,755006.8348320002,100231.39,15456.887999999999,483059.03
26.788,15744.008480000002,137.5,1125.04,597264.21,8822148.63,722177.3097760002,95128.51,15256.7,483059.03
27.145,12404.33,137.5,1150.04,593243.01184,8822148.63,670206.53,95128.51,15556.96,483059.03
27.502,14105.6,137.5,1150.04,581790.1594880001,8822148.63,654505.29,92293.986,14105.72,483059.03
27.859,12404.33,137.5,1150.04,568121.7534880001,8822148.63,654505.29,88042.2,14405.97,493207.78520000004
28.216,13104.848000000002,150.0,1150.04,558967.35088,8822148.63,654505.29,88042.2,15056.52,492885.5784800001
28.573,13104.83,150.0,1150.04,528922.18,8822148.63,654505.29,88042.2,15256.7,497607.2736000001
28.93,12104.12,150.0,1300.05,528922.18,8828983.469360001,654505.29,86635.3,14255.85,491901.5436000001
29.287,12104.12,175.0,1250.05,528922.18,8809820.696656,654505.29,86635.3,14706.22,486195.81360000005
29.644,12104.12,175.0,1250.05,528922.18,8799696.93856,646867.2,86635.3,14405.97,470123.61
30.001,12104.12,175.0,1250.05,528922.18,8770528.65656,646867.2,86635.3,14005.64,470123.61
30.358,12104.12,150.0,1250.05,528922.18,8705179.88,646867.2,86635.3,13885.564,470123.61
30.715,12104.12,150.0,1250.05,534761.99,8705179.88,646867.2,86635.3,13255.05,464969.742
31.072,14257.824,150.0,1162.54,534761.99,8705179.88,646867.2,86635.3,12704.64,457238.94
31.429,15366.719999999998,150.0,1162.54,534761.99,8705179.88,646867.2,86635.3,13114.970000000001,457238.94
31.786,16507.66,150.0,1162.54,540357.224,8761671.753680002,646867.2,89710.66,11854.04,457238.94
32.143,16507.66,150.0,1162.54,540672.44,8722110.50368,658769.46,91760.9,13104.94,457238.94
32.5,16247.439999999999,250.0,1162.54,540672.44,8682549.25368,658693.4180000001,91760.9,12954.83,457238.94
32.857,15406.68,250.0,1162.54,540672.44,8507373.63,652685.2557600001,91760.9,12654.61,457238.94
33.214,15406.68,250.0,1200.04,540672.44,8507373.63,646486.99,91760.9,12404.43,471194.5079999999
33.571,15406.68,250.0,1125.04,540672.44,8507373.63,640859.0348,95907.992,11653.91,480498.22
33.928,16507.66,250.0,962.53,535065.46256,8507373.63,632692.4060000001,96310.07800000001,11553.84,480498.22
34.285,16507.66,200.0,962.53,532628.9628000001,8980631.062400002,612000.53,96712.164,11103.55,677994.9714400001
34.642,16807.95,237.5,962.53,520681.03,9144597.540816002,612000.53,93771.33,12054.198,738558.6428000001
34.999,16047.34,237.5,962.53,520681.03,9235484.012656001,612000.53,93771.33,11703.94,751542.4128000002
35.356,15446.834,237.5,962.53,516135.4160000001,9125498.327744002,612000.53,92213.22,12434.462000000001,710402.4613600001
35.713,12504.4,150.0,962.53,513914.71,8805788.785824,612000.53,92213.22,13104.94,545417.07
36.07,13505.13,150.0,1075.04,504719.28,8461004.628384002,612000.53,92213.22,11453.77,545417.07
36.427,14105.6,150.0,1012.53,493257.01800000004,7725872.05,612000.53,92213.22,13505.25,512391.43992
36.784,13705.28,150.0,1012.53,474703.88,7725872.05,612000.53,92213.22,13505.25,494442.72792
37.141,13845.408000000003,187.5,1012.53,474703.88,7496085.168400001,612000.53,92213.22,13505.25,455673.51
37.498,13104.83,187.5,1012.53,474703.88,7247149.38,643510.566144,92213.22,12654.61,455673.51
37.855,13104.83,150.0,1012.53,467583.08,7247149.38,659265.2471040001,92213.22,11854.04,455673.51
38.213,13104.83,150.0,687.51,467583.08,7247149.38,679875.51712,94213.75184,13154.98,455673.51
38.57,13104.83,150.0,687.51,467583.08,7222567.832304001,690773.9348000002,95229.03,13154.98,455673.51
38.927,13104.83,150.0,687.51,467583.08,7194969.277056001,695868.336384,95229.03,13355.13,455673.51
39.284,13104.83,125.0,687.51,462656.044,7143943.339056001,702897.41,95229.03,12464.524,455673.51
39.641,15246.624,100.0,687.51,457488.75,7092917.401056001,702897.41,95229.03,11804.01,711217.7966880001
39.998,15706.993999999999,125.0,687.51,453042.23,6992019.69,700398.1464000001,98059.6,10102.94,811802.6046880002
40.355,16607.76,137.5,687.51,450169.7,6992019.69,696899.0324,97813.29800000001,11103.55,900654.2050720002
40.712,15406.68,150.0,987.53,450169.7,6916836.75,685194.03,96309.82,11253.64,885196.717808
