# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: Sample-3
# Analysis Time: 2015-10-29 15:20:14
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
0.367,2000.11,37.5,12.5,433.34,13054.86,100.0,400.0,6851.35,33.33
0.724,3200.29,25.0,12.5,233.33,13955.55,400.0,200.0,8352.01,33.33
1.081,1900.1,0.0,12.5,333.34,13865.502000000002,400.0,200.0,7151.47,0.0
1.438,1700.08,0.0,0.0,333.34,12904.75,433.34,200.0,7981.845999999999,0.0
1.795,1904.1068,12.5,12.5,333.34,14105.67,366.67,225.0,8021.866000000001,0.0
2.152,1500.06,17.5,12.5,333.34,14155.71,466.67,210.0,7201.49,6.666
2.509,1964.1127999999999,25.0,12.5,266.67,14606.08,233.33,50.0,7985.843200000001,0.0
2.866,1900.1,0.0,25.0,433.34,14405.942,433.34,175.0,8001.84,0.0
3.223,2000.11,12.5,25.0,433.34,12804.68,320.004,200.0,8151.91,0.0
3.58,1600.07,0.0,0.0,500.01,13757.443200000002,200.0,225.0,7451.618,21.334000000000003
3.937,1940.1080000000002,10.0,0.0,300.0,13462.015280000003,166.67,175.0,6951.39,12.266800000000003
4.294,1800.09,0.0,0.0,333.34,12354.35,193.336,200.0,6001.04,0.0
4.65,1700.08,0.0,0.0,400.0,14127.739200000002,0.0,125.0,7135.4876,0.0
5.008,1000.03,0.0,0.0,433.34,14205.802000000001,266.67,150.0,6612.6475040000005,0.0
5.365,1820.098,0.0,0.0,400.0,13939.970240000002,286.67,250.0,7004.24192,4.0
5.722,1960.1139999999998,0.0,0.0,300.0,13104.9,366.67,225.0,5750.95,0.0
6.079,1900.1,0.0,0.0,466.67,13505.2,300.0,208.0,7311.564,0.0
6.437,2072.1207999999997,0.0,0.0,413.338,14035.636000000002,373.338,190.0,6801.33,28.000000000000004
6.794,2100.12,0.0,0.0,433.34,13955.55,366.67,75.0,7531.65,40.0
7.151,2000.11,0.0,0.0,300.0,14055.63,333.34,50.0,7381.582,33.33
7.508,1600.07,5.0,0.0,426.672,14526.048,100.0,200.0,6351.16,0.0
7.865,2000.11,0.0,0.0,365.3364,14906.34,400.0,175.0,6867.366400000001,33.33200000000001
8.222,1700.08,0.0,0.0,300.0,13355.09,373.338,275.0,6351.16,0.0
8.579,2178.5392,0.0,0.0,300.0,14816.292000000001,400.004,175.0,6751.31,0.0
8.936,2232.146,0.0,0.0,300.0,14706.17,333.34,275.0,6501.22,0.0
9.293,2500.18,0.0,0.0,300.0,14506.0,233.33,175.0,7101.45,0.0
9.65,1900.1,0.0,0.0,66.67,14105.67,233.33,150.0,6901.37,4.0
10.007,2300.15,0.0,0.0,300.002,15056.47,300.0,225.0,6951.39,0.0
10.364,1700.08,0.0,12.5,266.67,14696.17,233.33,200.0,7361.568,0.0
10.721,2200.14,25.0,12.5,400.0,14455.96,300.0,175.0,7501.626000000001,33.33
11.078,2240.15,20.0,12.5,366.67,14105.67,353.334,225.0,6901.37,0.0
11.434,1600.07,0.0,12.5,400.0,14696.174,300.0,125.0,7601.66,66.67
11.792,2300.156,25.0,12.5,233.33,14105.67,400.0,170.0,7901.8,66.67
12.149,2300.15,0.0,0.0,326.668,14706.17,453.338,200.0,7951.826,66.67
12.506,1900.1,0.0,0.0,266.67,14606.08,440.004,50.0,7401.58,0.0
12.863,2200.14,0.0,0.0,233.33,13965.586000000001,333.34,150.0,7695.7128,0.0
13.22,2200.138,0.0,0.0,266.67,13154.94,233.33,200.0,7001.41,0.0
13.577,1900.1,0.0,12.5,266.67,12604.53,266.668,225.0,7821.768,0.0
13.934,2092.1248,0.0,12.5,466.67,12154.21,133.33,125.0,7951.82,0.0
14.291,2160.136,0.0,12.5,440.00600000000003,13855.48,266.67,225.0,7451.6,0.0
14.648,1800.09,0.0,25.0,333.34,13568.091760000001,206.666,50.0,7051.43,0.0
15.005,1800.09,0.0,0.0,466.67,14249.832800000002,100.0,175.0,7617.681200000001,33.33
15.362,1800.09,12.5,0.0,433.34,13255.01,233.33,130.0,7831.786,40.0
15.719,1300.05,7.5,0.0,600.01,14766.248000000001,353.336,50.0,7351.56,28.0
16.076,1940.112,0.0,0.0,600.01,14055.63,366.67,125.0,7101.45,0.0
16.433,1700.08,0.0,0.0,600.01,14706.17,466.67,115.0,7701.71,0.0
16.79,2100.12,0.0,0.0,366.67,15006.42,453.338,100.0,7780.561280000001,66.67
17.147,2088.1268,25.0,0.0,433.34,14556.04,433.34,75.0,7446.187536,33.33
17.504,2000.11,25.0,0.0,433.34,13705.36,400.0,225.0,7675.7244,66.67
