# Minimal Reproduction Dataset Exported from LATOOLS on 2018:04:13 10:02:16
# Analysis described in '../analysis.log'
# Run latools.reproduce to import analysis.
#
# Sample: STD-2
# Analysis Time: 2015-10-29 15:25:12
Time,Al27,Ba137,Ba138,Ca43,Ca44,Mg24,Mg25,Mn55,Sr88
20.718,1700.08,0.0,0.0,366.67,14606.08,400.0,50.0,7451.6,33.33
21.075,1600.07,0.0,0.0,266.67,15328.7252,313.336,100.0,6151.09,53.33200000000001
21.432,2300.156,0.0,0.0,200.0,14405.92,166.67,175.0,7701.71,53.33200000000001
21.789,2600.19,0.0,12.5,280.002,15116.556000000002,166.67,175.0,7703.7352,0.0
22.146,2600.19,0.0,12.5,300.0,13955.55,200.0,75.0,7743.7492,0.0
22.503,2600.19,0.0,12.5,133.33,14105.67,333.34,225.0,7332.376080000001,0.0
22.86,2600.19,0.0,12.5,280.26744,12854.71,333.34,200.0,6351.16,0.0
23.217,2600.19,0.0,25.0,166.67,14806.25,333.34,225.0,6901.37,0.0
23.574,2200.1440000000002,0.0,25.0,401.3372,14536.056,300.0,50.0,7401.58,33.33
23.932,1800.09,12.5,12.5,440.00600000000003,14656.13,360.004,150.0,7891.808000000001,53.331999999999994
24.289,1400.06,7.5,12.5,466.67,14255.79,300.0,200.0,8081.888000000001,100.0
24.646,2320.162,0.0,12.5,433.34,14305.84,333.34,200.0,7851.77,33.33
25.002,2424.1764,0.0,12.5,433.34,14305.84,266.67,200.0,7851.77,100.0
25.36,2800.22,0.0,12.5,693.3500000000001,13555.24,266.67,200.0,8812.25,100.0
25.717,2800.22,0.0,37.5,866.69,13555.24,266.67,200.0,9452.57,100.0
26.074,2800.22,0.0,37.5,866.69,13555.24,266.67,200.0,9452.57,100.0
26.431,16908.04,6688.87,81201.89,866.69,13555.24,266.67,200.0,9452.57,14906.56
26.788,16908.04,6688.87,81201.89,866.69,13555.24,266.67,200.0,9452.57,14906.56
27.145,617154.3940480001,24099.60664,239760.25350400002,19232.938064,336752.7688000001,22667.783088000004,4068.0765440000023,128399.30777600003,123899.12915200001
27.502,907971.4260480001,33644.96664,352110.79190400004,28985.55816,493340.7188000001,34949.095088,6646.794240000003,221777.75504000005,183653.82715200004
27.859,1470993.2,43190.32664,420713.83,45358.57,796494.99,47230.407088,8767.450240000004,255768.95,243408.52515200005
28.216,1470993.2,54415.67,610196.9004320002,45358.57,796494.99,61673.23,10803.28,446718.67316800007,313680.05
28.573,3622425.642240001,54415.67,720379.4060960002,111709.09640000001,1799475.9019360002,61673.23,10803.28,547939.6083040001,313680.05
28.93,4700895.923264001,89232.45464,826860.8102880002,144721.85656000004,2296998.845264001,162905.22705600003,22697.705008000008,651007.5974240002,645587.8441760001
29.287,5858229.435888002,106567.98976000001,892001.3238880002,179994.53044800006,2826815.4136800007,213403.26830400003,28832.355952000013,711818.5463520001,811070.7570880002
29.644,6560441.765696,124939.72664000001,934564.5040800001,201304.99003200006,3139842.830624,267244.07976000005,35471.64804800001,751356.473856,987144.3216960002
30.001,7041289.347648001,135985.16912,955209.9514720002,215597.37064000004,3346920.771984,299081.87396800006,39847.17142400001,769602.0513599999,1091459.9493280002
30.358,7277588.441920001,142722.60456,967291.82,221355.01404800004,3441512.884544,320334.5174880001,43999.74048000001,777987.96,1159182.61128
30.715,7376241.327136001,145605.402,967291.82,223399.67188800004,3477714.178016,329224.07220800006,44174.55784000001,777987.96,1190441.495264
31.072,7383137.980352001,145849.56,959272.6,220645.66,3484765.784,332363.1709600001,45382.814000000006,777987.96,1203413.31
31.429,7333408.830656,145849.56,947270.7239999999,220645.66,3465116.174,329858.93,44154.7,777987.96,1203413.31
31.786,7292144.029200001,145609.94,927195.72,211601.93,3445466.5640000002,329858.93,44154.7,770706.074,1203413.31
32.143,7157452.5,145609.94,907282.44,211601.93,3398307.5,329858.93,44154.7,759130.63,1203413.31
32.5,7157452.5,144487.5,907282.44,211601.93,3398307.5,326701.54,43001.88,760435.86,1196596.33
32.857,7101404.09912,144487.5,901095.90112,211601.93,3398307.5,322480.336,43001.88,752681.892,1186370.86
33.214,7047750.97312,142015.95,896280.9580000001,211601.93,3382957.074,318216.71,43001.88,744204.604,1177762.266
33.571,6951873.55136,142015.95,887351.2276000001,211601.93,3353581.8798400005,310922.96,41775.0748,733254.02,1156328.15
33.928,6861811.136016,136027.69,870030.49,207891.3,3317889.3778400007,304784.87,41277.944,717629.7112000001,1140439.452
34.285,6750751.04272,136027.69,870030.49,207891.3,3293189.1064000004,304784.87,38591.79,701895.0512000001,1101585.05
34.642,6635577.919024,136027.69,870030.49,207891.3,3219844.99,304784.87,38541.68,671636.34,1101585.05
34.999,6443429.83,134124.51,870030.49,202731.4,3219844.99,303801.67,38541.68,671636.34,1101585.05
